!SIL    1.0	sil
<SPN>   1.0	spn
<UNK>   1.0	unk
మెజార్టీ	1.0	మె జార్ టీ 
మెంటార్	1.0	మెం టార్ 
మెట్ట	1.0	మె ట్ట 
మెట్టం	1.0	మె ట్టం 
మెట్టినింట్లో	1.0	మె ట్టి నింట్ లో 
మెంట్	1.0	మెంట్ 
మెట్రిక్	1.0	మెట్ రిక్ 
మెట్రో	1.0	మెట్ రో 
మెట్రోలను	1.0	మెట్ రో ల ను 
మెడకు	1.0	మె డ కు 
మెడన్యూరూపులకి	1.0	మె డన్ యూ రూ పు ల కి 
మెడపై	1.0	మె డ పై 
మెడ	1.0	మె డ 
మెడలు	1.0	మె డ లు 
మెడలోని	1.0	మె డ లో ని 
మెడలో	1.0	మె డ లో 
మెడల్	1.0	మె డల్ 
మెండుగానే	1.0	మెం డు గా నే 
మెండుగా	1.0	మెం డు గా 
మెతుకులకు	1.0	మె తు కు ల కు 
మెంతులు	1.0	మెం తు లు 
మెథడ్	1.0	మె థడ్ 
మెదక్	1.0	మె దక్ 
మెదడుకు	1.0	మె ద డు కు 
మెదడుపై	1.0	మె ద డు పై 
మెదడు	1.0	మె ద డు 
మెదడులో	1.0	మె ద డు లో 
మెదపకపోవడంతో	1.0	మె ద ప క పో వ డం తో 
మెదపడం	1.0	మె ద ప డం 
మెదపడానికి	1.0	మె ద ప డా ని కి 
మెదపని	1.0	మె ద ప ని 
మెదులుతుంది	1.0	మె దు లు తుం ది 
మెదులుతూనే	1.0	మె దు లు తూ నే 
మెన్	1.0	మెన్ 
మెప్పిస్తున్నారని	1.0	మె ప్పిస్ తు న్నా ర ని 
మెప్పుకోసం	1.0	మె ప్పు కో సం 
మెప్పు	1.0	మె ప్పు 
మెమరీని	1.0	మె మ రీ ని 
మెమో	1.0	మె మో 
మెయిల్	1.0	మె యిల్ 
మెరకు	1.0	మె ర కు 
మెరిసే	1.0	మె రి సే 
మెరుగుదల	1.0	మె రు గు ద ల 
మెరుగునకు	1.0	మె రు గు న కు 
మెరుగుపడాలని	1.0	మె రు గు ప డా ల ని 
మెరుగుపడింది	1.0	మె రు గు ప డిం ది 
మెరుగుపడుతుందని	1.0	మె రు గు ప డు తుం ద ని 
మెరుగుపరుచుకొని	1.0	మె రు గు ప రు చు కొ ని 
మెరుగుపర్చుకునేందుకు	1.0	మె రు గు పర్ చు కు నేం దు కు 
మెరుగుపర్చుకోవాలని	1.0	మె రు గు పర్ చు కో వా ల ని 
మెరుగుపర్చుకోవాల్సిన	1.0	మె రు గు పర్ చు కో వాల్ సి న 
మెరుగు	1.0	మె రు గు 
మెరుగులు	1.0	మె రు గు లు 
మెరుగైన	1.0	మె రు గై న 
మెరుగ్గా	1.0	మె రు గ్గా 
మెరుపు	1.0	మె రు పు 
మెరుపులతో	1.0	మె రు పు ల తో 
మెరైన్	1.0	మె రైన్ 
మెర్టెన్స్	1.0	మెర్ టెన్స్ 
మెలిగానని	1.0	మె లి గా న ని 
మెలిగే	1.0	మె లి గే 
మెలుకువల	1.0	మె లు కు వ ల 
మెలుగుతూ	1.0	మె లు గు తూ 
మెల్లగా	1.0	మె ల్ల గా 
మెల్లమెల్లగా	1.0	మె ల్ల మె ల్ల గా 
మెస్సీ	1.0	మె స్సీ 
మెహందీ	1.0	మె హం దీ 
మెహ్రన్	1.0	మెహ్ రన్ 
మేకపాటి	1.0	మే క పా టి 
మేకల	1.0	మే క ల 
మేకలు	1.0	మే క లు 
మేగను	1.0	మే గ ను 
మేగ్గు	1.0	మే గ్గు 
మేఘామృతమై	1.0	మే ఘా మృ త మై 
మేఘాలను	1.0	మే ఘా ల ను 
మేఘాలు	1.0	మే ఘా లు 
మేఘావృతంగా	1.0	మే ఘా వృ తం గా 
మేఘావృతమై	1.0	మే ఘా వృ త మై 
మేజిస్ట్రేట్	1.0	మే జిస్ట్ రేట్ 
మేటి	1.0	మే టి 
మేడపాడు	1.0	మే డ పా డు 
మేడారం	1.0	మే డా రం 
మేడారంలోని	1.0	మే డా రం లో ని 
మేడిపల్లి	1.0	మే డి ప ల్లి 
మేథస్సును	1.0	మే థ స్సు ను 
మేథో	1.0	మే థో 
మేధస్సును	1.0	మే ధ స్సు ను 
మేధావులు	1.0	మే ధా వు లు 
మేధావుల్లో	1.0	మే ధా వు ల్లో 
మేధాశక్తిని	1.0	మే ధా శక్ తి ని 
మేధోమథనం	1.0	మే ధో మ థ నం 
మేధో	1.0	మే ధో 
మేనకా	1.0	మే న కా 
మేనల్లుడు	1.0	మే న ల్లు డు 
మేనేజర్	1.0	మే నే జర్ 
మేనేజర్లు	1.0	మే నే జర్ లు 
మేనేజింగ్	1.0	మే నే జింగ్ 
మేనేజ్	1.0	మే నేజ్ 
మేపుతున్నాడు	1.0	మే పు తు న్నా డు 
మేము	1.0	మే ము 
మే	1.0	మే 
మేం	1.0	మేం 
మేమే	1.0	మే మే 
మేయర్	1.0	మే యర్ 
మేరకు	1.0	మే ర కు 
మేరకె	1.0	మే ర కె 
మేరకే	1.0	మే ర కే 
మేరకైనా	1.0	మే ర కై నా 
మేర	1.0	మే ర 
మేరీమాత	1.0	మే రీ మా త 
మేరీ	1.0	మే రీ 
మేలనే	1.0	మే ల నే 
మేలు	1.0	మే లు 
మేల్కొని	1.0	మేల్ కొ ని 
మేష	1.0	మే ష 
మేస్త్రీలు	1.0	మేస్త్ రీ లు 
మేళక్లవాగుకు	1.0	మే ళక్ ల వా గు కు 
మేళతాళాల	1.0	మే ళ తా ళా ల 
మేళవించేందుకు	1.0	మే ళ విం చేం దు కు 
మేళాను	1.0	మే ళా ను 
మైకంలో	1.0	మై కం లో 
మైకులను	1.0	మై కు ల ను 
మైక్రోఎస్డీ	1.0	మైక్ రో ఎస్ డీ 
మైండ్	1.0	మైండ్ 
మైత్రిని	1.0	మైత్ రి ని 
మైత్రిపాల	1.0	మైత్ రి పా ల 
మైదాన	1.0	మై దా న 
మైదానం	1.0	మై దా నం 
మైదానంలోకి	1.0	మై దా నం లో కి 
మైదానంలో	1.0	మై దా నం లో 
మైదానానికి	1.0	మై దా నా ని కి 
మైదానాల్లో	1.0	మై దా నా ల్లో 
మైంది	1.0	మైం ది 
మైదుకూరు	1.0	మై దు కూ రు 
మైనదన్నారు	1.0	మై న ద న్నా రు 
మైనంపల్లిలో	1.0	మై నం ప ల్లి లో 
మైనర్	1.0	మై నర్ 
మైనర్లు	1.0	మై నర్ లు 
మైనారిటీ	1.0	మై నా రి టీ 
మైనారిటీలో	1.0	మై నా రి టీ లో 
మైనార్టీ	1.0	మై నార్ టీ 
మైనార్టీలను	1.0	మై నార్ టీ ల ను 
మైనార్టీల	1.0	మై నార్ టీ ల 
మైనార్టీలు	1.0	మై నార్ టీ లు 
మైనింగ్	1.0	మై నింగ్ 
మైమ్	1.0	మైమ్ 
మైరైన్స్	1.0	మై రైన్స్ 
మైలవరం	1.0	మై ల వ రం 
మైలవరంలోని	1.0	మై ల వ రం లో ని 
మైలురాయి	1.0	మై లు రా యి 
మైసూరా	1.0	మై సూ రా 
మైసూరు	1.0	మై సూ రు 
మైసూరులో	1.0	మై సూ రు లో 
మైళ్లకు	1.0	మైళ్ ల కు 
మైళ్ల	1.0	మైళ్ ల 
మొక్కజొన్న	1.0	మొ క్క జొ న్న 
మొక్కను	1.0	మొ క్క ను 
మొక్కబడిగా	1.0	మొ క్క బ డి గా 
మొక్కలను	1.0	మొ క్క ల ను 
మొక్కల	1.0	మొ క్క ల 
మొక్కలు	1.0	మొ క్క లు 
మొక్కుకున్నారంట	1.0	మొ క్కు కు న్నా రం ట 
మొక్కుబడిగా	1.0	మొ క్కు బ డి గా 
మొక్కులు	1.0	మొ క్కు లు 
మొఖం	1.0	మొ ఖం 
మొగల్తూరు	1.0	మొ గల్ తూ రు 
మొగల్తూరులో	1.0	మొ గల్ తూ రు లో 
మొగిలి	1.0	మొ గి లి 
మొగ్గు	1.0	మొ గ్గు 
మొట్ట	1.0	మొ ట్ట 
మొట్టమొదటి	1.0	మొ ట్ట మొ ద టి 
మొండిగా	1.0	మొం డి గా 
మొండిపడ్డారు	1.0	మొం డి ప డ్డా రు 
మొత్తంగా	1.0	మొ త్తం గా 
మొత్తంజానారెడ్డి	1.0	మొ త్తం జా నా రె డ్డి 
మొత్తం	1.0	మొ త్తం 
మొత్తంలో	1.0	మొ త్తం లో 
మొత్తాడు	1.0	మొ త్తా డు 
మొత్తానికి	1.0	మొ త్తా ని కి 
మొత్తాన్ని	1.0	మొ త్తా న్ని 
మొత్తాలు	1.0	మొ త్తా లు 
మొత్తి	1.0	మొ త్తి 
మొదటగా	1.0	మొ ద ట గా 
మొదట	1.0	మొ ద ట 
మొదటికే	1.0	మొ ద టి కే 
మొదటికొచ్చింది	1.0	మొ ద టి కొ చ్చిం ది 
మొదటిది	1.0	మొ ద టి ది 
మొదటి	1.0	మొ ద టి 
మొదటిరోజు	1.0	మొ ద టి రో జు 
మొదటిసారి	1.0	మొ ద టి సా రి 
మొదటే	1.0	మొ ద టే 
మొదట్లో	1.0	మొ దట్ లో 
మొదలయింది	1.0	మొ ద ల యిం ది 
మొదలయ్యాయని	1.0	మొ ద ల య్యా య ని 
మొదలయ్యాయి	1.0	మొ ద ల య్యా యి 
మొదలవుతుందని	1.0	మొ ద ల వు తుం ద ని 
మొదలవుతుందనే	1.0	మొ ద ల వు తుం ద నే 
మొదలవుతుందన్న	1.0	మొ ద ల వు తుం ద న్న 
మొదలవుతోందని	1.0	మొ ద ల వు తోం ద ని 
మొదలుపెట్టబోయే	1.0	మొ ద లు పె ట్ట బో యే 
మొదలుపెట్టాడు	1.0	మొ ద లు పె ట్టా డు 
మొదలుపెట్టామని	1.0	మొ ద లు పె ట్టా మ ని 
మొదలుపెట్టారు	1.0	మొ ద లు పె ట్టా రు 
మొదలుపెట్టిందని	1.0	మొ ద లు పె ట్టిం ద ని 
మొదలుపెట్టినట్లు	1.0	మొ ద లు పె ట్టి నట్ లు 
మొదలుపెట్టినా	1.0	మొ ద లు పె ట్టి నా 
మొదలు	1.0	మొ ద లు 
మొదలెట్టారు	1.0	మొ ద లె ట్టా రు 
మొదలైంది	1.0	మొ ద లైం ది 
మొదలైన	1.0	మొ ద లై న 
మొదలైనాయి	1.0	మొ ద లై నా యి 
మొదలైపోయాయి	1.0	మొ ద లై పో యా యి 
మొదలై	1.0	మొ ద లై 
మొదలోస్తుంది	1.0	మొ ద లోస్ తుం ది 
మొద్దు	1.0	మొ ద్దు 
మొన్న	1.0	మొ న్న 
మొబైల్	1.0	మొ బైల్ 
మొ	1.0	మొ 
మొయిలీ	1.0	మొ యి లీ 
మొరపెట్టుకున్నారు	1.0	మొ ర పె ట్టు కు న్నా రు 
మొరయించారు	1.0	మొ ర యిం చా రు 
మొలకశాతం	1.0	మొ ల క శా తం 
మొవ్వ	1.0	మొ వ్వ 
మొసలికన్నీరు	1.0	మొ స లి క న్నీ రు 
మొసలి	1.0	మొ స లి 
మొసళ్లు	1.0	మొ సళ్ లు 
మొస్తరు	1.0	మొస్ త రు 
మొహమూద్	1.0	మొ హ మూద్ 
మొహం	1.0	మొ హం 
మొహరించారు	1.0	మొ హ రిం చా రు 
మొహాలీ	1.0	మొ హా లీ 
మోకాల్లోతు	1.0	మో కా ల్లో తు 
మోకాళ్ల	1.0	మో కాళ్ ల 
మోకాళ్లలోతు	1.0	మో కాళ్ ల లో తు 
మోక్ష	1.0	మోక్ ష 
మోగించారు	1.0	మో గిం చా రు 
మోగించి	1.0	మో గిం చి 
మోజు	1.0	మో జు 
మోటల్	1.0	మో టల్ 
మోటార్	1.0	మో టార్ 
మోటార్స్	1.0	మో టార్స్ 
మోట్రో	1.0	మోట్ రో 
మోడలింగ్	1.0	మో డ లింగ్ 
మోడల్	1.0	మో డల్ 
మోడల్స్	1.0	మో డల్స్ 
మోడళ్ల	1.0	మో డళ్ ల 
మోడికి	1.0	మో డి కి 
మోడి	1.0	మో డి 
మోడీకి	1.0	మో డీ కి 
మోడీతో	1.0	మో డీ తో 
మోడీని	1.0	మో డీ ని 
మోడీపై	1.0	మో డీ పై 
మోడీ	1.0	మో డీ 
మోడీలను	1.0	మో డీ ల ను 
మోతలో	1.0	మో త లో 
మోతాదుకు	1.0	మో తా దు కు 
మోతాదులో	1.0	మో తా దు లో 
మోతార్	1.0	మో తార్ 
మోతిహరికి	1.0	మో తి హ రి కి 
మోత్కాకు	1.0	మోత్ కా కు 
మోత్కుపలికితే	1.0	మోత్ కు ప లి కి తే 
మోత్కుపల్లికి	1.0	మోత్ కు ప ల్లి కి 
మోత్కుపల్లి	1.0	మోత్ కు ప ల్లి 
మోత్కుల్లి	1.0	మోత్ కు ల్లి 
మోత్కూరు	1.0	మోత్ కూ రు 
మోదటంతో	1.0	మో ద టం తో 
మోదాడు	1.0	మో దా డు 
మోది	1.0	మో ది 
మోదీ	1.0	మో దీ 
మోపనుంది	1.0	మో ప నుం ది 
మోపారు	1.0	మో పా రు 
మోపిదేవిని	1.0	మో పి దే వి ని 
మోపిదేవి	1.0	మో పి దే వి 
మోపిన	1.0	మో పి న 
మోపుతుంది	1.0	మో పు తుం ది 
మోపుతున్నాయని	1.0	మో పు తు న్నా య ని 
మోపుతోంది	1.0	మో పు తోం ది 
మోపెడవుతున్నప్పటికి	1.0	మో పె డ వు తు న్న ప్ప టి కి 
మోపేందుకు	1.0	మో పేం దు కు 
మోపొద్దని	1.0	మో పొ ద్ద ని 
మోబిదేవిని	1.0	మో బి దే వి ని 
మోయలేని	1.0	మో య లే ని 
మోయవలసి	1.0	మో య వ ల సి 
మోయిసెస్	1.0	మో యి సెస్ 
మోరపల్లిలో	1.0	మో ర ప ల్లి లో 
మోరియా	1.0	మో రి యా 
మోర్చా	1.0	మోర్ చా 
మోర్జంపాటులో	1.0	మోర్ జం పా టు లో 
మోర్మన్ల	1.0	మోర్ మన్ ల 
మోర్సీ	1.0	మోర్ సీ 
మోసగించాయని	1.0	మో స గిం చా య ని 
మోసగిస్తున్నారని	1.0	మో స గిస్ తు న్నా ర ని 
మోసపు	1.0	మో స పు 
మోసపోకుండా	1.0	మో స పో కుం డా 
మోసపోతున్నారు	1.0	మో స పో తు న్నా రు 
మోసపోయానని	1.0	మో స పో యా న ని 
మోసపోయానన్న	1.0	మో స పో యా న న్న 
మోస	1.0	మో స 
మోసం	1.0	మో సం 
మోసానికి	1.0	మో సా ని కి 
మోసాలకు	1.0	మో సా ల కు 
మోసాలు	1.0	మో సా లు 
మోస్తరుగా	1.0	మోస్ త రు గా 
మోస్తరు	1.0	మోస్ త రు 
మోస్తున్నారు	1.0	మోస్ తు న్నా రు 
మోహనరంగాపై	1.0	మో హ న రం గా పై 
మోహనరావు	1.0	మో హ న రా వు 
మోహన్	1.0	మో హన్ 
మోహరించినా	1.0	మో హ రిం చి నా 
మోహరించి	1.0	మో హ రిం చి 
మోహల్లో	1.0	మో హ ల్లో 
మోహిత్	1.0	మో హిత్ 
మౌనంగా	1.0	మౌ నం గా 
మౌన	1.0	మౌ న 
మౌనం	1.0	మౌ నం 
మౌనాన్ని	1.0	మౌ నా న్ని 
మౌలాలిలోని	1.0	మౌ లా లి లో ని 
మౌలిక	1.0	మౌ లి క 
మ్ఎం	1.0	మ్ఎం 
మ్యాచుకు	1.0	మ్యా చు కు 
మ్యాచు	1.0	మ్యా చు 
మ్యాచులలో	1.0	మ్యా చు ల లో 
మ్యాచులో	1.0	మ్యా చు లో 
మ్యాచ్	1.0	మ్యాచ్ 
మ్యాన్	1.0	మ్యాన్ 
మ్యూజియంలో	1.0	మ్యూ జి యం లో 
మ్యూజియాన్ని	1.0	మ్యూ జి యా న్ని 
మ్రుదగడ	1.0	మ్రు ద గ డ 
యకర్లు	1.0	య కర్ లు 
యక్షగానం	1.0	యక్ ష గా నం 
యక్షగానాన్ని	1.0	యక్ ష గా నా న్ని 
యజమానిని	1.0	య జ మా ని ని 
యజమాని	1.0	య జ మా ని 
యజమానురాలు	1.0	య జ మా ను రా లు 
యజమానులకు	1.0	య జ మా ను ల కు 
యజమానులతో	1.0	య జ మా ను ల తో 
యజమానులు	1.0	య జ మా ను లు 
యజ్ఞంలో	1.0	యజ్ ఞం లో 
యడంతో	1.0	య డం తో 
యడపల్లి	1.0	య డ ప ల్లి 
యడ్యూరప్ప	1.0	యడ్ యూ ర ప్ప 
యడ్లపాటి	1.0	యడ్ ల పా టి 
యడ్లపూడి	1.0	యడ్ ల పూ డి 
యడ్ల	1.0	యడ్ ల 
యత్నంగానే	1.0	యత్ నం గా నే 
యత్నాలు	1.0	యత్ నా లు 
యత్నించారు	1.0	యత్ నిం చా రు 
యత్నించినట్లు	1.0	యత్ నిం చి నట్ లు 
యత్నిస్తోంది	1.0	యత్ నిస్ తోం ది 
యంత్రాంగపు	1.0	యంత్ రాం గ పు 
యంత్రాంగం	1.0	యంత్ రాం గం 
యంత్రాంగంసిద్ధంగా	1.0	యంత్ రాం గం సిద్ ధం గా 
యంత్రాంగానికి	1.0	యంత్ రాం గా ని కి 
యంత్రాంగాన్ని	1.0	యంత్ రాం గా న్ని 
యంత్రాలతో	1.0	యంత్ రా ల తో 
యంత్రాలను	1.0	యంత్ రా ల ను 
యథాతథ	1.0	య థా త థ 
యథేచ్ఛగా	1.0	య థేచ్ ఛ గా 
యద్దనపూడి	1.0	య ద్ద న పూ డి 
యద్ధా	1.0	యద్ ధా 
యనమలను	1.0	య న మ ల ను 
యనమల	1.0	య న మ ల 
యని	1.0	య ని 
యనీ	1.0	య నీ 
యన్డివో	1.0	యన్ డి వో 
య	1.0	య 
యం	1.0	యం 
యర్రగొండపాలెంలో	1.0	య ర్ర గొం డ పా లెం లో 
యర్రాతివారిపల్లెలోని	1.0	య ర్రా తి వా రి ప ల్లె లో ని 
యలమంచిలిలంకకు	1.0	య ల మం చి లి లం క కు 
యశోద	1.0	య శో ద 
యశోదా	1.0	య శో దా 
యస్	1.0	యస్ 
యాంకర్	1.0	యాం కర్ 
యాక్టివాపై	1.0	యాక్ టి వా పై 
యాగం	1.0	యా గం 
యాగంలోనైనా	1.0	యా గం లో నై నా 
యాగశాలలు	1.0	యా గ శా ల లు 
యాగానికి	1.0	యా గా ని కి 
యాగాన్ని	1.0	యా గా న్ని 
యాగాలు	1.0	యా గా లు 
యాజమానులు	1.0	యా జ మా ను లు 
యాజమాన్యంపై	1.0	యా జ మాన్ యం పై 
యాజమాన్య	1.0	యా జ మాన్ య 
యాజమాన్యం	1.0	యా జ మాన్ యం 
యాజమాన్యాల	1.0	యా జ మాన్ యా ల 
యాజమాన్యాలు	1.0	యా జ మాన్ యా లు 
యాంటి	1.0	యాం టి 
యాడని	1.0	యా డ ని 
యాడ్	1.0	యాడ్ 
యాత్రకు	1.0	యాత్ ర కు 
యాత్రను	1.0	యాత్ ర ను 
యాత్ర	1.0	యాత్ ర 
యాత్రం	1.0	యాత్ రం 
యాత్రలకు	1.0	యాత్ ర ల కు 
యాత్రలు	1.0	యాత్ ర లు 
యాత్రలో	1.0	యాత్ ర లో 
యాత్రంలో	1.0	యాత్ రం లో 
యాత్రల్లో	1.0	యాత్ ర ల్లో 
యాత్రికులకు	1.0	యాత్ రి కు ల కు 
యాత్రికులతో	1.0	యాత్ రి కు ల తో 
యాత్రికులను	1.0	యాత్ రి కు ల ను 
యాత్రికుల	1.0	యాత్ రి కు ల 
యాత్రికులు	1.0	యాత్ రి కు లు 
యాత్రిల	1.0	యాత్ రి ల 
యాథాస్థానంలో	1.0	యా థాస్ థా నం లో 
యాదగిరిగుట్ట	1.0	యా ద గి రి గు ట్ట 
యాదగిరి	1.0	యా ద గి రి 
యాదయ్యగౌడ్	1.0	యా ద య్య గౌడ్ 
యాదవ	1.0	యా ద వ 
యాదవ్	1.0	యా దవ్ 
యాదిరెడ్డి	1.0	యా ది రె డ్డి 
యాద్గారిపల్లిలో	1.0	యాద్ గా రి ప ల్లి లో 
యాధృచ్ఛికంగా	1.0	యా ధృచ్ ఛి కం గా 
యానాం	1.0	యా నాం 
యానికి	1.0	యా ని కి 
యాపిల్	1.0	యా పిల్ 
యాప్	1.0	యాప్ 
యాప్స్	1.0	యాప్స్ 
యాభై	1.0	యా భై 
యామినీ	1.0	యా మి నీ 
యా	1.0	యా 
యార్డు	1.0	యార్ డు 
యార్డులో	1.0	యార్ డు లో 
యాలు	1.0	యా లు 
యాల్సి	1.0	యాల్ సి 
యావజ్జీవ	1.0	యా వ జ్జీ వ 
యావత్	1.0	యా వత్ 
యాష్కీని	1.0	యాష్ కీ ని 
యాసను	1.0	యా స ను 
యాసిన్	1.0	యా సిన్ 
యాహూలో	1.0	యా హూ లో 
యాళ్ళ	1.0	యా ళ్ళ 
యింక	1.0	యిం క 
యించాల్సిన	1.0	యిం చాల్ సి న 
యిటవల	1.0	యి ట వ ల 
యిటువంటి	1.0	యి టు వం టి 
యిద్వా	1.0	యిద్ వా 
యిప్పుడొక	1.0	యి ప్పు డొ క 
యివతలకి	1.0	యి వ త ల కి 
యీరి	1.0	యీ రి 
యుఎస్	1.0	యు ఎస్ 
యుక్తులుగా	1.0	యుక్ తు లు గా 
యుజిసి	1.0	యు జి సి 
యుడు	1.0	యు డు 
యుద్ద	1.0	యు ద్ద 
యుద్దానికి	1.0	యు ద్దా ని కి 
యుద్ద్ధానికై	1.0	యుద్ద్ ధా ని కై 
యుద్ధనౌక	1.0	యుద్ ధ నౌ క 
యుద్ధప్రాతిపదికన	1.0	యుద్ ధప్ రా తి ప ది క న 
యుద్ధప్రాతిపదిక	1.0	యుద్ ధప్ రా తి ప ది క 
యుద్ధమంటూ	1.0	యుద్ ధ మం టూ 
యుద్ధ	1.0	యుద్ ధ 
యుద్ధం	1.0	యుద్ ధం 
యుద్ధంలో	1.0	యుద్ ధం లో 
యుద్ధానికి	1.0	యుద్ ధా ని కి 
యుద్ధాన్ని	1.0	యుద్ ధా న్ని 
యుద్ధోన్మాదం	1.0	యుద్ ధోన్ మా దం 
యునినార్	1.0	యు ని నార్ 
యుపిఎ	1.0	యు పి ఎ 
యురేనియం	1.0	యు రే ని యం 
యులుగా	1.0	యు లు గా 
యువకుడికి	1.0	యు వ కు డి కి 
యువకుడిని	1.0	యు వ కు డి ని 
యువకుడి	1.0	యు వ కు డి 
యువకుడు	1.0	యు వ కు డు 
యువకుడైన	1.0	యు వ కు డై న 
యువకుడ్ని	1.0	యు వ కుడ్ ని 
యువకులకు	1.0	యు వ కు ల కు 
యువకులను	1.0	యు వ కు ల ను 
యువకులపై	1.0	యు వ కు ల పై 
యువకుల	1.0	యు వ కు ల 
యువకులు	1.0	యు వ కు లు 
యువకుల్లోని	1.0	యు వ కు ల్లో ని 
యువజన	1.0	యు వ జ న 
యువతకు	1.0	యు వ త కు 
యువతకూ	1.0	యు వ త కూ 
యువతదే	1.0	యు వ త దే 
యువతను	1.0	యు వ త ను 
యువత	1.0	యు వ త 
యువతరం	1.0	యు వ త రం 
యువతరానికి	1.0	యు వ త రా ని కి 
యువతలు	1.0	యు వ త లు 
యువతలో	1.0	యు వ త లో 
యువతికి	1.0	యు వ తి కి 
యువతిగా	1.0	యు వ తి గా 
యువతితో	1.0	యు వ తి తో 
యువతిని	1.0	యు వ తి ని 
యువతిపై	1.0	యు వ తి పై 
యువతి	1.0	యు వ తి 
యువతీయువకులు	1.0	యు వ తీ యు వ కు లు 
యువతులకు	1.0	యు వ తు ల కు 
యువతులను	1.0	యు వ తు ల ను 
యువతుల	1.0	యు వ తు ల 
యువతులు	1.0	యు వ తు లు 
యువనేత	1.0	యు వ నే త 
యువభేరీపైనే	1.0	యు వ భే రీ పై నే 
యువభేరీలో	1.0	యు వ భే రీ లో 
యువ	1.0	యు వ 
యువరాజ్	1.0	యు వ రాజ్ 
యువశక్తి	1.0	యు వ శక్ తి 
యువీని	1.0	యు వీ ని 
యూజర్లు	1.0	యూ జర్ లు 
యూట్యూబ్	1.0	యూట్ యూబ్ 
యూనిటి	1.0	యూ ని టి 
యూనిఫారలు	1.0	యూ ని ఫా ర లు 
యూనియన్	1.0	యూ ని యన్ 
యూనివర్సిటీని	1.0	యూ ని వర్ సి టీ ని 
యూనివర్సిటీ	1.0	యూ ని వర్ సి టీ 
యూనివర్సిటీలకు	1.0	యూ ని వర్ సి టీ ల కు 
యూనివర్సిటీలో	1.0	యూ ని వర్ సి టీ లో 
యూపిఏ	1.0	యూ పి ఏ 
యూపీఎస్సీ	1.0	యూ పీ ఎ స్సీ 
యూపీఏ	1.0	యూ పీ ఏ 
యూపీ	1.0	యూ పీ 
యూ	1.0	యూ 
యూరఫ్తో	1.0	యూ రఫ్ తో 
యూరి	1.0	యూ రి 
యూరేనియం	1.0	యూ రే ని యం 
యూవీకె	1.0	యూ వీ కె 
యూసుఫ్	1.0	యూ సుఫ్ 
యెడల	1.0	యె డ ల 
యెడ్యూరప్ప	1.0	యెడ్ యూ ర ప్ప 
యెత్తున	1.0	యె త్తు న 
యెన్నం	1.0	యె న్నం 
యెన్నంలు	1.0	యె న్నం లు 
యె	1.0	యె 
యేటనే	1.0	యే ట నే 
యేలిగండ్ల	1.0	యే లి గండ్ ల 
యొక్కఉధృతి	1.0	యొ క్క ఉ ధృ తి 
యొక్క	1.0	యొ క్క 
యోగం	1.0	యో గం 
యోగా	1.0	యో గా 
యోగాసనాలు	1.0	యో గా స నా లు 
యోగినీ	1.0	యో గి నీ 
యోగి	1.0	యో గి 
యోగిరాజ్	1.0	యో గి రాజ్ 
యోగ్యంగా	1.0	యోగ్ యం గా 
యోగ్యమేనని	1.0	యోగ్ య మే న ని 
యోచనలో	1.0	యో చ న లో 
యోచిస్తున్నట్టుగా	1.0	యో చిస్ తు న్న ట్టు గా 
యోచిస్తున్నట్లు	1.0	యో చిస్ తు న్నట్ లు 
యోచిస్తున్నదని	1.0	యో చిస్ తు న్న ద ని 
యోచిస్తున్నారు	1.0	యో చిస్ తు న్నా రు 
యోచిస్తోందని	1.0	యో చిస్ తోం ద ని 
యోచిస్తోంది	1.0	యో చిస్ తోం ది 
యోజన	1.0	యో జ న 
యోధుడట	1.0	యో ధు డ ట 
యోధురాలు	1.0	యో ధు రా లు 
యోధులు	1.0	యో ధు లు 
యోర్జాట్	1.0	యోర్ జాట్ 
య్యనాయుడేనన్నారు	1.0	య్య నా యు డే న న్నా రు 
రకంగానూ	1.0	ర కం గా నూ 
రకంగానే	1.0	ర కం గా నే 
రకంగా	1.0	ర కం గా 
రకమైన	1.0	ర క మై న 
రకం	1.0	ర కం 
రకరకాల	1.0	ర క ర కా ల 
రకరకాలుగా	1.0	ర క ర కా లు గా 
రకాల	1.0	ర కా ల 
రకాలుకా	1.0	ర కా లు కా 
రకాలుగా	1.0	ర కా లు గా 
రకాలైన	1.0	ర కా లై న 
రక్తదాన	1.0	రక్ త దా న 
రక్తపీడనం	1.0	రక్ త పీ డ నం 
రక్తపు	1.0	రక్ త పు 
రక్తపోటు	1.0	రక్ త పో టు 
రక్తమే	1.0	రక్ త మే 
రక్త	1.0	రక్ త 
రక్తం	1.0	రక్ తం 
రక్తవిరేచనాలుగా	1.0	రక్ త వి రే చ నా లు గా 
రక్తస్రావమైబాబు	1.0	రక్ తస్ రా వ మై బా బు 
రక్తస్రావం	1.0	రక్ తస్ రా వం 
రక్షక	1.0	రక్ ష క 
రక్షకుడిగా	1.0	రక్ ష కు డి గా 
రక్షణగా	1.0	రక్ ష ణ గా 
రక్షణ	1.0	రక్ ష ణ 
రక్షించవలసింది	1.0	రక్ షిం చ వ ల సిం ది 
రక్షించారు	1.0	రక్ షిం చా రు 
రక్షించుకోవచ్చన్నారు	1.0	రక్ షిం చు కో వ చ్చ న్నా రు 
రక్షించుకోవడానికి	1.0	రక్ షిం చు కో వ డా ని కి 
